Ticker ,Name,Current_Price
XLU,Sel Sector:Util SPDR (ARCX:XLU), $74.23 
XLSR,SPDR SSgA US Sect Rot (ARCX:XLSR), $41.20 
CLOU,Glbl X Cloud Computing (XNAS:CLOU), $18.59 
MGC,Vanguard Mega Cap;ETF (ARCX:MGC), $144.71 
ARKF,ARK Fintech Innovation (ARCX:ARKF), $20.28 
VOO,Vanguard 500 Idx;ETF (ARCX:VOO), $379.98 
IIPR,"INNOVATIVE INDUSTRIAL PROPERTIES, INC. (XNYS:IIPR)", $94.41 
ARKK,ARK Innovation (ARCX:ARKK), $50.07 
XLK,Sel Sector:Tech SPDR (ARCX:XLK), $147.02 
SKYY,FT II:Cloud Computing (XNAS:SKYY), $75.41 
AIEQ,AI Powered Equity (ARCX:AIEQ), $34.76 
XLU,Sel Sector:Util SPDR (ARCX:XLU), $74.23 
TDIV,FT VI:Nsdq Tech Div (XNAS:TDIV), $53.88 
VNQI,Vanguard GxUS RE;ETF (XNAS:VNQI), $45.04 
ARKQ,ARK Autonomous Tch & Rob (BATS:ARKQ), $57.30 
SPYG,SPDR Ptf S&P 500 Growth (ARCX:SPYG), $59.64 
SRVR,Pacer Bchmrk D&I RE SCTR (ARCX:SRVR), $36.21 
INDS,Pacer Bchmrk Ind RE SCTR (ARCX:INDS), $43.80 
XLF,Sel Sector:Finl S SPDR (ARCX:XLF), $33.69 
